sport,league_name,espn_slug,proposed_new_id,work_package,adapter_family,is_college,discovery_url,scoreboard_url,sample_event_id,sample_event_date,sample_file,evidence_level,activation_status,summary_url,summary_probe_http,teams_url,teams_probe_count,standings_url,standings_probe_nonempty,notes
baseball,Venezuelan Winter League,venezuelan-winter-league,espn:baseball:venezuelan-winter-league,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/venezuelan-winter-league/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/venezuelan-winter-league/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/venezuelan-winter-league/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/venezuelan-winter-league/standings,not-established,
baseball,World Baseball Classic,world-baseball-classic,espn:baseball:world-baseball-classic,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/world-baseball-classic/scoreboard,401845801,2026-03-18T00:00Z,provider-samples/baseball--world-baseball-classic.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/world-baseball-classic/summary?event=401845801,not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/world-baseball-classic/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/world-baseball-classic/standings,not-established,
basketball,FIBA World Cup,fiba,espn:basketball:fiba,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/fiba/scoreboard,401917259,2026-09-13T14:30Z,provider-samples/basketball--fiba.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/fiba/summary?event=401917259,not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/fiba/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/fiba/standings,not-established,Verify competition/season/gender from event metadata; directory label alone is insufficient
basketball,Olympics Men's Basketball,mens-olympics-basketball,espn:basketball:mens-olympics-basketball,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-olympics-basketball/scoreboard,401694865,2024-08-10T09:00Z,provider-samples/basketball--mens-olympics-basketball.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-olympics-basketball/summary?event=401694865,not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-olympics-basketball/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/mens-olympics-basketball/standings,not-established,Returned event predates 2026; validate current coverage or legitimate tournament cycle
basketball,NBA G League,nba-development,espn:basketball:nba-development,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-development/scoreboard,401914361,2026-11-07T00:00Z,provider-samples/basketball--nba-development.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-development/summary?event=401914361,200,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-development/teams,34,https://site.api.espn.com/apis/v2/sports/basketball/nba-development/standings,True,
basketball,NBA California Classic Summer League,nba-summer-california,espn:basketball:nba-summer-california,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-california/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-california/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-california/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/nba-summer-california/standings,not-established,
basketball,Golden State Summer League,nba-summer-golden-state,espn:basketball:nba-summer-golden-state,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-golden-state/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-golden-state/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-golden-state/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/nba-summer-golden-state/standings,not-established,
basketball,Las Vegas Summer League,nba-summer-las-vegas,espn:basketball:nba-summer-las-vegas,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-las-vegas/scoreboard,401881720,2026-07-19T20:30Z,provider-samples/basketball--nba-summer-las-vegas.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-las-vegas/summary?event=401881720,not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-las-vegas/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/nba-summer-las-vegas/standings,not-established,
basketball,Orlando Summer League,nba-summer-orlando,espn:basketball:nba-summer-orlando,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-orlando/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-orlando/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-orlando/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/nba-summer-orlando/standings,not-established,
basketball,Sacramento Summer League,nba-summer-sacramento,espn:basketball:nba-summer-sacramento,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-sacramento/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-sacramento/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-sacramento/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/nba-summer-sacramento/standings,not-established,
basketball,Salt Lake City Summer League,nba-summer-utah,espn:basketball:nba-summer-utah,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-utah/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-utah/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-utah/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/nba-summer-utah/standings,not-established,
basketball,National Basketball League,nbl,espn:basketball:nbl,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/nbl/scoreboard,401875267,2026-09-24T09:30Z,provider-samples/basketball--nbl.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/nbl/summary?event=401875267,not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/nbl/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/nbl/standings,not-established,
basketball,Olympics Women's Basketball,womens-olympics-basketball,espn:basketball:womens-olympics-basketball,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=basketball,https://site.api.espn.com/apis/site/v2/sports/basketball/womens-olympics-basketball/scoreboard,401694857,2024-08-11T09:30Z,provider-samples/basketball--womens-olympics-basketball.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/basketball/womens-olympics-basketball/summary?event=401694857,not-tested,https://site.api.espn.com/apis/site/v2/sports/basketball/womens-olympics-basketball/teams,not-established,https://site.api.espn.com/apis/v2/sports/basketball/womens-olympics-basketball/standings,not-established,Returned event predates 2026; validate current coverage or legitimate tournament cycle
field-hockey,NCAA Women's Field Hockey,womens-college-field-hockey,espn:field-hockey:womens-college-field-hockey,W3-new-sports,team-match,true,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=field-hockey,https://site.api.espn.com/apis/site/v2/sports/field-hockey/womens-college-field-hockey/scoreboard,401899815,2026-09-24T14:00Z,provider-samples/field-hockey--womens-college-field-hockey.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/field-hockey/womens-college-field-hockey/summary?event=401899815,200,https://site.api.espn.com/apis/site/v2/sports/field-hockey/womens-college-field-hockey/teams,0,https://site.api.espn.com/apis/v2/sports/field-hockey/womens-college-field-hockey/standings,True,
football,Canadian Football League,cfl,espn:football:cfl,W6-source-resolution,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=football,https://site.api.espn.com/apis/site/v2/sports/football/cfl/scoreboard,401504210,2022-11-20T23:00Z,provider-samples/football--cfl.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/football/cfl/summary?event=401504210,not-tested,https://site.api.espn.com/apis/site/v2/sports/football/cfl/teams,not-established,https://site.api.espn.com/apis/v2/sports/football/cfl/standings,not-established,Returned event predates 2026; validate current coverage or legitimate tournament cycle
football,United Football League,ufl,espn:football:ufl,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=football,https://site.api.espn.com/apis/site/v2/sports/football/ufl/scoreboard,401857566,2026-06-13T19:00Z,provider-samples/football--ufl.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/football/ufl/summary?event=401857566,200,https://site.api.espn.com/apis/site/v2/sports/football/ufl/teams,8,https://site.api.espn.com/apis/v2/sports/football/ufl/standings,True,
football,XFL,xfl,espn:football:xfl,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=football,https://site.api.espn.com/apis/site/v2/sports/football/xfl/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/football/xfl/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/football/xfl/teams,not-established,https://site.api.espn.com/apis/v2/sports/football/xfl/standings,not-established,
golf,PGA Tour Champions,champions-tour,espn:golf:champions-tour,W4-golf,golf-leaderboard,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/champions-tour/scoreboard,401832077,2026-10-02T04:00Z,provider-samples/golf--champions-tour.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/champions-tour/summary?event=401832077,not-tested,https://site.api.espn.com/apis/site/v2/sports/golf/champions-tour/teams,not-established,https://site.api.espn.com/apis/v2/sports/golf/champions-tour/standings,not-established,Sample has no competitors; schedule availability is not leaderboard/result availability
golf,DP World Tour,eur,espn:golf:eur,W4-golf,golf-leaderboard,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/eur/scoreboard,401822703,2026-09-24T04:00Z,provider-samples/golf--eur.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/eur/summary?event=401822703,not-tested,https://site.api.espn.com/apis/site/v2/sports/golf/eur/teams,not-established,https://site.api.espn.com/apis/v2/sports/golf/eur/standings,not-established,
golf,LIV Golf Invitational Series,liv,espn:golf:liv,W4-golf,golf-leaderboard,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/liv/scoreboard,401843582,2026-08-30T04:00Z,provider-samples/golf--liv.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/liv/summary?event=401843582,not-tested,https://site.api.espn.com/apis/site/v2/sports/golf/liv/teams,not-established,https://site.api.espn.com/apis/v2/sports/golf/liv/standings,not-established,Sample has no competitors; schedule availability is not leaderboard/result availability
golf,Ladies Pro Golf Association,lpga,espn:golf:lpga,W4-golf,golf-leaderboard,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/lpga/scoreboard,401835170,2026-09-25T04:00Z,provider-samples/golf--lpga.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/lpga/summary?event=401835170,404,https://site.api.espn.com/apis/site/v2/sports/golf/lpga/teams,0,https://site.api.espn.com/apis/v2/sports/golf/lpga/standings,False,
golf,Olympic Golf - Men,mens-olympics-golf,espn:golf:mens-olympics-golf,W4-golf,golf-leaderboard,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/mens-olympics-golf/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/mens-olympics-golf/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/golf/mens-olympics-golf/teams,not-established,https://site.api.espn.com/apis/v2/sports/golf/mens-olympics-golf/standings,not-established,
golf,Korn Ferry Tour,ntw,espn:golf:ntw,W4-golf,golf-leaderboard,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/ntw/scoreboard,401837450,2026-10-01T04:00Z,provider-samples/golf--ntw.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/ntw/summary?event=401837450,not-tested,https://site.api.espn.com/apis/site/v2/sports/golf/ntw/teams,not-established,https://site.api.espn.com/apis/v2/sports/golf/ntw/standings,not-established,Sample has no competitors; schedule availability is not leaderboard/result availability
golf,TGL,tgl,espn:golf:tgl,W4-golf,team-golf,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/tgl/scoreboard,401865268,2026-03-24T01:00Z,provider-samples/golf--tgl.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/tgl/summary?event=401865268,404,https://site.api.espn.com/apis/site/v2/sports/golf/tgl/teams,6,https://site.api.espn.com/apis/v2/sports/golf/tgl/standings,True,Team golf with multiple competitions; do not use PGA athlete-only normalizer
golf,Olympic Golf - Women,womens-olympics-golf,espn:golf:womens-olympics-golf,W4-golf,golf-leaderboard,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=golf,https://site.api.espn.com/apis/site/v2/sports/golf/womens-olympics-golf/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/golf/womens-olympics-golf/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/golf/womens-olympics-golf/teams,not-established,https://site.api.espn.com/apis/v2/sports/golf/womens-olympics-golf/standings,not-established,
hockey,World Cup of Hockey,hockey-world-cup,espn:hockey:hockey-world-cup,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=hockey,https://site.api.espn.com/apis/site/v2/sports/hockey/hockey-world-cup/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/hockey/hockey-world-cup/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/hockey/hockey-world-cup/teams,not-established,https://site.api.espn.com/apis/v2/sports/hockey/hockey-world-cup/standings,not-established,
hockey,NCAA Men's Ice Hockey,mens-college-hockey,espn:hockey:mens-college-hockey,W2-team-and-soccer,team-match,true,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=hockey,https://site.api.espn.com/apis/site/v2/sports/hockey/mens-college-hockey/scoreboard,401912409,2026-10-02T22:00Z,provider-samples/hockey--mens-college-hockey.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/hockey/mens-college-hockey/summary?event=401912409,200,https://site.api.espn.com/apis/site/v2/sports/hockey/mens-college-hockey/teams,50,https://site.api.espn.com/apis/v2/sports/hockey/mens-college-hockey/standings,True,
hockey,Men's Ice Hockey,olympics-mens-ice-hockey,espn:hockey:olympics-mens-ice-hockey,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=hockey,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-mens-ice-hockey/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-mens-ice-hockey/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-mens-ice-hockey/teams,not-established,https://site.api.espn.com/apis/v2/sports/hockey/olympics-mens-ice-hockey/standings,not-established,
hockey,Women's Ice Hockey,olympics-womens-ice-hockey,espn:hockey:olympics-womens-ice-hockey,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=hockey,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-womens-ice-hockey/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-womens-ice-hockey/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-womens-ice-hockey/teams,not-established,https://site.api.espn.com/apis/v2/sports/hockey/olympics-womens-ice-hockey/standings,not-established,
hockey,NCAA Women's Hockey,womens-college-hockey,espn:hockey:womens-college-hockey,W2-team-and-soccer,team-match,true,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=hockey,https://site.api.espn.com/apis/site/v2/sports/hockey/womens-college-hockey/scoreboard,401904100,2026-09-24T21:00Z,provider-samples/hockey--womens-college-hockey.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/hockey/womens-college-hockey/summary?event=401904100,not-tested,https://site.api.espn.com/apis/site/v2/sports/hockey/womens-college-hockey/teams,not-established,https://site.api.espn.com/apis/v2/sports/hockey/womens-college-hockey/standings,not-established,
lacrosse,NCAA Men's Lacrosse,mens-college-lacrosse,espn:lacrosse:mens-college-lacrosse,W3-new-sports,team-match,true,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=lacrosse,https://site.api.espn.com/apis/site/v2/sports/lacrosse/mens-college-lacrosse/scoreboard,401870925,2026-05-25T17:00Z,provider-samples/lacrosse--mens-college-lacrosse.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/lacrosse/mens-college-lacrosse/summary?event=401870925,not-tested,https://site.api.espn.com/apis/site/v2/sports/lacrosse/mens-college-lacrosse/teams,not-established,https://site.api.espn.com/apis/v2/sports/lacrosse/mens-college-lacrosse/standings,not-established,
lacrosse,National Lacrosse League,nll,espn:lacrosse:nll,W3-new-sports,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=lacrosse,https://site.api.espn.com/apis/site/v2/sports/lacrosse/nll/scoreboard,401872545,2026-05-17T22:00Z,provider-samples/lacrosse--nll.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/lacrosse/nll/summary?event=401872545,not-tested,https://site.api.espn.com/apis/site/v2/sports/lacrosse/nll/teams,not-established,https://site.api.espn.com/apis/v2/sports/lacrosse/nll/standings,not-established,
lacrosse,Premier Lacrosse League,pll,espn:lacrosse:pll,W3-new-sports,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=lacrosse,https://site.api.espn.com/apis/site/v2/sports/lacrosse/pll/scoreboard,401919201,2026-09-20T16:30Z,provider-samples/lacrosse--pll.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/lacrosse/pll/summary?event=401919201,200,https://site.api.espn.com/apis/site/v2/sports/lacrosse/pll/teams,12,https://site.api.espn.com/apis/v2/sports/lacrosse/pll/standings,True,
lacrosse,NCAA Women's Lacrosse,womens-college-lacrosse,espn:lacrosse:womens-college-lacrosse,W3-new-sports,team-match,true,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=lacrosse,https://site.api.espn.com/apis/site/v2/sports/lacrosse/womens-college-lacrosse/scoreboard,401870993,2026-05-24T16:00Z,provider-samples/lacrosse--womens-college-lacrosse.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/lacrosse/womens-college-lacrosse/summary?event=401870993,not-tested,https://site.api.espn.com/apis/site/v2/sports/lacrosse/womens-college-lacrosse/teams,not-established,https://site.api.espn.com/apis/v2/sports/lacrosse/womens-college-lacrosse/standings,not-established,
mma,Absolute Championship Berkut,absolute,espn:mma:absolute,W5-combat,fight-card,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=mma,https://site.api.espn.com/apis/site/v2/sports/mma/absolute/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/mma/absolute/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/mma/absolute/teams,not-established,https://site.api.espn.com/apis/v2/sports/mma/absolute/standings,not-established,
